idx,seconds,feat__type,hog__block_norm,hog__cells_per_block,hog__orientations,hog__pixels_per_cell,pca__n_components,svm__C,mean_accuracy,fold_scores,fold_mean,fold_std,sift__contrastThreshold,sift__edgeThreshold,sift__n_features,sift__sigma
0,208.17459726333618,hog,L2-Hys,"(2, 2)",6.0,"(8, 8)",128,0.002,0.7577862961188309,"[0.7569477719214183, 0.7586248203162435]",0.7577862961188309,0.0008385241974125934,,,,
1,205.42999982833862,hog,L2-Hys,"(2, 2)",6.0,"(8, 8)",128,0.25,0.7582055582175371,"[0.7571873502635362, 0.7592237661715381]",0.7582055582175371,0.001018207954000927,,,,
2,206.48079371452332,hog,L2-Hys,"(2, 2)",6.0,"(8, 8)",128,1.0,0.7582055582175371,"[0.7571873502635362, 0.7592237661715381]",0.7582055582175371,0.001018207954000927,,,,
3,206.28655695915222,hog,L2-Hys,"(2, 2)",6.0,"(8, 8)",128,4.0,0.7582055582175371,"[0.7571873502635362, 0.7592237661715381]",0.7582055582175371,0.001018207954000927,,,,
4,202.9567859172821,hog,L2-Hys,"(2, 2)",6.0,"(8, 8)",256,0.002,0.7637757546717776,"[0.7622184954480115, 0.7653330138955439]",0.7637757546717776,0.0015572592237662053,,,,
5,200.95368909835815,hog,L2-Hys,"(2, 2)",6.0,"(8, 8)",256,0.25,0.7645543842836607,"[0.7629372304743651, 0.7661715380929564]",0.7645543842836607,0.0016171538092956128,,,,
6,199.99636697769165,hog,L2-Hys,"(2, 2)",6.0,"(8, 8)",256,1.0,0.7643747005270723,"[0.7628174413033062, 0.7659319597508385]",0.7643747005270723,0.0015572592237661498,,,,
7,204.06612491607666,hog,L2-Hys,"(2, 2)",6.0,"(8, 8)",256,4.0,0.7644345951126018,"[0.7628174413033062, 0.7660517489218974]",0.7644345951126018,0.0016171538092956128,,,,
8,173.92583894729614,hog,L2-Hys,"(2, 2)",6.0,"(8, 16)",128,0.002,0.7637757546717776,"[0.7628174413033062, 0.7647340680402491]",0.7637757546717776,0.000958313368471464,,,,
9,169.97280311584473,hog,L2-Hys,"(2, 2)",6.0,"(8, 16)",128,0.25,0.7653330138955439,"[0.7641351221849545, 0.7665309056061332]",0.7653330138955439,0.0011978917105893716,,,,
10,167.60517716407776,hog,L2-Hys,"(2, 2)",6.0,"(8, 16)",128,1.0,0.7653330138955439,"[0.7641351221849545, 0.7665309056061332]",0.7653330138955439,0.0011978917105893716,,,,
11,174.13020205497742,hog,L2-Hys,"(2, 2)",6.0,"(8, 16)",128,4.0,0.7653929084810733,"[0.7642549113560134, 0.7665309056061332]",0.7653929084810733,0.0011379971250599086,,,,
12,179.91911506652832,hog,L2-Hys,"(2, 2)",6.0,"(8, 16)",256,0.002,0.7739578342117872,"[0.7724005749880211, 0.7755150934355535]",0.7739578342117872,0.0015572592237662053,,,,
13,177.13420987129211,hog,L2-Hys,"(2, 2)",6.0,"(8, 16)",256,0.25,0.7758744609487302,"[0.774556780067082, 0.7771921418303785]",0.7758744609487302,0.0013176808816482977,,,,
14,177.21904587745667,hog,L2-Hys,"(2, 2)",6.0,"(8, 16)",256,1.0,0.7759343555342597,"[0.7746765692381409, 0.7771921418303785]",0.7759343555342597,0.0012577862961188346,,,,
15,180.5930209159851,hog,L2-Hys,"(2, 2)",6.0,"(8, 16)",256,4.0,0.7759343555342597,"[0.7746765692381409, 0.7771921418303785]",0.7759343555342597,0.0012577862961188346,,,,
16,164.7003448009491,hog,L2-Hys,"(2, 2)",6.0,"(16, 16)",128,0.002,0.7649137517968376,"[0.76689027311931, 0.7629372304743651]",0.7649137517968376,0.0019765213224724465,,,,
17,167.8567831516266,hog,L2-Hys,"(2, 2)",6.0,"(16, 16)",128,0.25,0.7659319597508385,"[0.7671298514614279, 0.7647340680402491]",0.7659319597508385,0.0011978917105893716,,,,
18,167.7655167579651,hog,L2-Hys,"(2, 2)",6.0,"(16, 16)",128,1.0,0.7659319597508385,"[0.7671298514614279, 0.7647340680402491]",0.7659319597508385,0.0011978917105893716,,,,
19,164.70010805130005,hog,L2-Hys,"(2, 2)",6.0,"(16, 16)",128,4.0,0.765991854336368,"[0.7671298514614279, 0.764853857211308]",0.765991854336368,0.0011379971250599086,,,,
20,167.06763219833374,hog,L2-Hys,"(2, 2)",6.0,"(16, 16)",256,0.002,0.7738380450407283,"[0.774436990896023, 0.7732390991854337]",0.7738380450407283,0.0005989458552946858,,,,
21,166.7305190563202,hog,L2-Hys,"(2, 2)",6.0,"(16, 16)",256,0.25,0.775455198850024,"[0.7738380450407283, 0.7770723526593196]",0.775455198850024,0.0016171538092956683,,,,
22,163.23856782913208,hog,L2-Hys,"(2, 2)",6.0,"(16, 16)",256,1.0,0.7753354096789651,"[0.7738380450407283, 0.7768327743172018]",0.7753354096789651,0.0014973646382367423,,,,
23,166.87209105491638,hog,L2-Hys,"(2, 2)",6.0,"(16, 16)",256,4.0,0.7753953042644945,"[0.7738380450407283, 0.7769525634882607]",0.7753953042644945,0.0015572592237662053,,,,
24,209.7893087863922,hog,L2-Hys,"(2, 2)",9.0,"(8, 8)",128,0.002,0.7571873502635362,"[0.7571873502635362, 0.7571873502635362]",0.7571873502635362,0.0,,,,
25,210.48365211486816,hog,L2-Hys,"(2, 2)",9.0,"(8, 8)",128,0.25,0.7582055582175371,"[0.7579060852898898, 0.7585050311451845]",0.7582055582175371,0.00029947292764737066,,,,
26,207.73321795463562,hog,L2-Hys,"(2, 2)",9.0,"(8, 8)",128,1.0,0.7581456636320076,"[0.7577862961188309, 0.7585050311451845]",0.7581456636320076,0.0003593675131768337,,,,
27,205.14459490776062,hog,L2-Hys,"(2, 2)",9.0,"(8, 8)",128,4.0,0.7581456636320076,"[0.7577862961188309, 0.7585050311451845]",0.7581456636320076,0.0003593675131768337,,,,
28,208.9009370803833,hog,L2-Hys,"(2, 2)",9.0,"(8, 8)",256,0.002,0.7607810253953042,"[0.7573071394345952, 0.7642549113560134]",0.7607810253953042,0.0034738859607091332,,,,
29,213.80167698860168,hog,L2-Hys,"(2, 2)",9.0,"(8, 8)",256,0.25,0.7628174413033062,"[0.7589841878294202, 0.7666506947771922]",0.7628174413033062,0.003833253473885967,,,,
30,211.13628506660461,hog,L2-Hys,"(2, 2)",9.0,"(8, 8)",256,1.0,0.7628174413033062,"[0.7592237661715381, 0.7664111164350743]",0.7628174413033062,0.003593675131768115,,,,
31,214.0974099636078,hog,L2-Hys,"(2, 2)",9.0,"(8, 8)",256,4.0,0.7628174413033062,"[0.7592237661715381, 0.7664111164350743]",0.7628174413033062,0.003593675131768115,,,,
32,177.71108412742615,hog,L2-Hys,"(2, 2)",9.0,"(8, 16)",128,0.002,0.7588643986583613,"[0.7564686152371826, 0.76126018207954]",0.7588643986583613,0.002395783421178743,,,,
33,182.9868619441986,hog,L2-Hys,"(2, 2)",9.0,"(8, 16)",128,0.25,0.7607810253953042,"[0.7582654528030666, 0.7632965979875419]",0.7607810253953042,0.0025155725922376693,,,,
34,186.95832920074463,hog,L2-Hys,"(2, 2)",9.0,"(8, 16)",128,1.0,0.7608409199808337,"[0.7583852419741255, 0.7632965979875419]",0.7608409199808337,0.0024556780067082062,,,,
35,186.32986998558044,hog,L2-Hys,"(2, 2)",9.0,"(8, 16)",128,4.0,0.7608409199808337,"[0.7583852419741255, 0.7632965979875419]",0.7608409199808337,0.0024556780067082062,,,,
36,189.11513805389404,hog,L2-Hys,"(2, 2)",9.0,"(8, 16)",256,0.002,0.768806899856253,"[0.7691662673694298, 0.7684475323430762]",0.768806899856253,0.0003593675131768337,,,,
37,189.48173904418945,hog,L2-Hys,"(2, 2)",9.0,"(8, 16)",256,0.25,0.7697652132247245,"[0.7695256348826066, 0.7700047915668423]",0.7697652132247245,0.00023957834211785212,,,,
38,190.65574407577515,hog,L2-Hys,"(2, 2)",9.0,"(8, 16)",256,1.0,0.7698251078102539,"[0.7695256348826066, 0.7701245807379012]",0.7698251078102539,0.00029947292764731515,,,,
39,189.6940507888794,hog,L2-Hys,"(2, 2)",9.0,"(8, 16)",256,4.0,0.7698251078102539,"[0.7695256348826066, 0.7701245807379012]",0.7698251078102539,0.00029947292764731515,,,,
40,171.05330610275269,hog,L2-Hys,"(2, 2)",9.0,"(16, 16)",128,0.002,0.7674293243890752,"[0.7700047915668423, 0.764853857211308]",0.7674293243890752,0.0025754671777671323,,,,
41,169.6084349155426,hog,L2-Hys,"(2, 2)",9.0,"(16, 16)",128,0.25,0.7693459511260182,"[0.7721609966459032, 0.7665309056061332]",0.7693459511260182,0.0028150455198849844,,,,
42,168.8854501247406,hog,L2-Hys,"(2, 2)",9.0,"(16, 16)",128,1.0,0.7694657402970771,"[0.7722807858169621, 0.7666506947771922]",0.7694657402970771,0.0028150455198849844,,,,
43,172.36310029029846,hog,L2-Hys,"(2, 2)",9.0,"(16, 16)",128,4.0,0.7694058457115477,"[0.7721609966459032, 0.7666506947771922]",0.7694058457115477,0.0027551509343555214,,,,
44,173.74938082695007,hog,L2-Hys,"(2, 2)",9.0,"(16, 16)",256,0.002,0.7730594154288453,"[0.7716818399616675, 0.774436990896023]",0.7730594154288453,0.0013775754671777607,,,,
45,173.68303513526917,hog,L2-Hys,"(2, 2)",9.0,"(16, 16)",256,0.25,0.7746765692381409,"[0.7738380450407283, 0.7755150934355535]",0.7746765692381409,0.0008385241974125934,,,,
46,171.56092524528503,hog,L2-Hys,"(2, 2)",9.0,"(16, 16)",256,1.0,0.7747963584091998,"[0.7740776233828461, 0.7755150934355535]",0.7747963584091998,0.0007187350263536674,,,,
47,172.41866993904114,hog,L2-Hys,"(2, 2)",9.0,"(16, 16)",256,4.0,0.7747963584091998,"[0.7740776233828461, 0.7755150934355535]",0.7747963584091998,0.0007187350263536674,,,,
48,226.2012541294098,hog,L2-Hys,"(2, 2)",12.0,"(8, 8)",128,0.002,0.7574269286056541,"[0.7564686152371826, 0.7583852419741255]",0.7574269286056541,0.000958313368471464,,,,
49,345.3469729423523,hog,L2-Hys,"(2, 2)",12.0,"(8, 8)",128,0.25,0.758325347388596,"[0.7573071394345952, 0.759343555342597]",0.758325347388596,0.001018207954000927,,,,
50,342.06208205223083,hog,L2-Hys,"(2, 2)",12.0,"(8, 8)",128,1.0,0.7300551030186871,"[0.7454480114997605, 0.7146621945376138]",0.7300551030186871,0.01539290848107333,,,,
51,362.067312002182,hog,L2-Hys,"(2, 2)",12.0,"(8, 8)",128,4.0,0.6720771442261619,"[0.6739338763775755, 0.6702204120747485]",0.6720771442261619,0.0018567321514135204,,,,
52,222.74016308784485,hog,L2-Hys,"(2, 2)",12.0,"(8, 8)",256,0.002,0.7616195495927168,"[0.7591039770004792, 0.7641351221849545]",0.7616195495927168,0.0025155725922376693,,,,
53,407.4824411869049,hog,L2-Hys,"(2, 2)",12.0,"(8, 8)",256,0.25,0.7618591279348347,"[0.761379971250599, 0.7623382846190704]",0.7618591279348347,0.00047915668423570423,,,,
54,418.0775990486145,hog,L2-Hys,"(2, 2)",12.0,"(8, 8)",256,1.0,0.7498203162434116,"[0.7543124101581217, 0.7453282223287014]",0.7498203162434116,0.004492093914710116,,,,
55,428.79196190834045,hog,L2-Hys,"(2, 2)",12.0,"(8, 8)",256,4.0,0.7101102060373743,"[0.7151413512218495, 0.705079060852899]",0.7101102060373743,0.005031145184475283,,,,
56,177.03040099143982,hog,L2-Hys,"(2, 2)",12.0,"(8, 16)",128,0.002,0.7612601820795399,"[0.7606612362242453, 0.7618591279348347]",0.7612601820795399,0.0005989458552946858,,,,
57,177.54666018486023,hog,L2-Hys,"(2, 2)",12.0,"(8, 16)",128,0.25,0.763057019645424,"[0.763176808816483, 0.7629372304743651]",0.763057019645424,0.00011978917105892606,,,,
58,178.46907997131348,hog,L2-Hys,"(2, 2)",12.0,"(8, 16)",128,1.0,0.763057019645424,"[0.763176808816483, 0.7629372304743651]",0.763057019645424,0.00011978917105892606,,,,
59,178.17458605766296,hog,L2-Hys,"(2, 2)",12.0,"(8, 16)",128,4.0,0.7631169142309535,"[0.763176808816483, 0.763057019645424]",0.7631169142309535,5.989458552946303e-05,,,,
