idx,seconds,feat__type,hog__block_norm,hog__cells_per_block,hog__orientations,hog__pixels_per_cell,pca__n_components,svm__C,mean_accuracy,fold_scores,fold_mean,fold_std,sift__contrastThreshold,sift__edgeThreshold,sift__n_features,sift__sigma
69,166.5297088623047,hog,L2-Hys,"(2, 2)",12.0,"(16, 16)",256,0.25,0.7765333013895543,"[0.7750359367513177, 0.7780306660277911]",0.7765333013895543,0.0014973646382367423,,,,
71,166.64559721946716,hog,L2-Hys,"(2, 2)",12.0,"(16, 16)",256,4.0,0.7765333013895543,"[0.7750359367513177, 0.7780306660277911]",0.7765333013895543,0.0014973646382367423,,,,
70,166.9912440776825,hog,L2-Hys,"(2, 2)",12.0,"(16, 16)",256,1.0,0.7765333013895543,"[0.7750359367513177, 0.7780306660277911]",0.7765333013895543,0.0014973646382367423,,,,
14,177.21904587745667,hog,L2-Hys,"(2, 2)",6.0,"(8, 16)",256,1.0,0.7759343555342597,"[0.7746765692381409, 0.7771921418303785]",0.7759343555342597,0.0012577862961188346,,,,
15,180.5930209159851,hog,L2-Hys,"(2, 2)",6.0,"(8, 16)",256,4.0,0.7759343555342597,"[0.7746765692381409, 0.7771921418303785]",0.7759343555342597,0.0012577862961188346,,,,
13,177.13420987129211,hog,L2-Hys,"(2, 2)",6.0,"(8, 16)",256,0.25,0.7758744609487302,"[0.774556780067082, 0.7771921418303785]",0.7758744609487302,0.0013176808816482977,,,,
21,166.7305190563202,hog,L2-Hys,"(2, 2)",6.0,"(16, 16)",256,0.25,0.775455198850024,"[0.7738380450407283, 0.7770723526593196]",0.775455198850024,0.0016171538092956683,,,,
23,166.87209105491638,hog,L2-Hys,"(2, 2)",6.0,"(16, 16)",256,4.0,0.7753953042644945,"[0.7738380450407283, 0.7769525634882607]",0.7753953042644945,0.0015572592237662053,,,,
22,163.23856782913208,hog,L2-Hys,"(2, 2)",6.0,"(16, 16)",256,1.0,0.7753354096789651,"[0.7738380450407283, 0.7768327743172018]",0.7753354096789651,0.0014973646382367423,,,,
46,171.56092524528503,hog,L2-Hys,"(2, 2)",9.0,"(16, 16)",256,1.0,0.7747963584091998,"[0.7740776233828461, 0.7755150934355535]",0.7747963584091998,0.0007187350263536674,,,,
47,172.41866993904114,hog,L2-Hys,"(2, 2)",9.0,"(16, 16)",256,4.0,0.7747963584091998,"[0.7740776233828461, 0.7755150934355535]",0.7747963584091998,0.0007187350263536674,,,,
68,166.29465985298157,hog,L2-Hys,"(2, 2)",12.0,"(16, 16)",256,0.002,0.7747364638236703,"[0.7734786775275515, 0.7759942501197892]",0.7747364638236703,0.0012577862961188346,,,,
45,173.68303513526917,hog,L2-Hys,"(2, 2)",9.0,"(16, 16)",256,0.25,0.7746765692381409,"[0.7738380450407283, 0.7755150934355535]",0.7746765692381409,0.0008385241974125934,,,,
12,179.91911506652832,hog,L2-Hys,"(2, 2)",6.0,"(8, 16)",256,0.002,0.7739578342117872,"[0.7724005749880211, 0.7755150934355535]",0.7739578342117872,0.0015572592237662053,,,,
20,167.06763219833374,hog,L2-Hys,"(2, 2)",6.0,"(16, 16)",256,0.002,0.7738380450407283,"[0.774436990896023, 0.7732390991854337]",0.7738380450407283,0.0005989458552946858,,,,
44,173.74938082695007,hog,L2-Hys,"(2, 2)",9.0,"(16, 16)",256,0.002,0.7730594154288453,"[0.7716818399616675, 0.774436990896023]",0.7730594154288453,0.0013775754671777607,,,,
141,165.2254388332367,hog,L2-Hys,"(3, 3)",12.0,"(16, 16)",256,0.25,0.7726401533301389,"[0.77252036415908, 0.7727599425011978]",0.7726401533301389,0.00011978917105892606,,,,
142,165.8000991344452,hog,L2-Hys,"(3, 3)",12.0,"(16, 16)",256,1.0,0.7725802587446094,"[0.7724005749880211, 0.7727599425011978]",0.7725802587446094,0.0001796837565883891,,,,
143,165.29377675056458,hog,L2-Hys,"(3, 3)",12.0,"(16, 16)",256,4.0,0.7725802587446094,"[0.7724005749880211, 0.7727599425011978]",0.7725802587446094,0.0001796837565883891,,,,
565,198.94748616218567,sift,,,,,256,0.25,0.7710828941063728,"[0.7701245807379012, 0.7720412074748443]",0.7710828941063728,0.0009583133684715195,0.02,15.0,1000.0,1.2
